카테고리		모델명				PDF 이름

스마트폰		Samsung Galaxy S24		galaxy-s24-manual-SM-S92X-DS-UU-rev-1-Korean
태블릿		Samsung SM-T865N		SM-T86X_UM_SS_Kor_Rev.1.0_220311
노트북		HP c02100613			c02100613
냉장고		LG R-B579HM			1105121400_3828JD8760F_2
TV		Samsung KQ75QNB900FXKR		BN81-22795B-650_EM_OSNATSCB_KR_KOR_240416.0
세탁기 		LG FR4350EAZ			1011100846_MFL48165917  
전자레인지	CUCKOO 	CMW-DF2010D		file_76b28bfd-9da5-4a9c-89f9-ead1a3339803
에어컨		ACW-0601MB			ACW-0601MB
청소기		dyson washG1			693_User_Manual
정수기		CHP-5711R			9244554 CHP-5711RL 사용설명서_내수용_003_(24.08.20)
커피머신		TERRA TE-302			사용설명서 TE-201 301 302 ver2.2
전기밥솥		CUCHEN CJH-LX066		CJH-LX0661RHW
스마트워치	Samsung Galaxy Watch7		SM-L30X_L31X_L705N_UG_Android_Kor_Rev.1.1_240819
이어폰/헤드폰	PHILIPS TAH5205BK/00		4fc3534352884e2b906bb0c7007d0482
전자책 리더기	HP c00054325			c00054325

